acm_id,Full.Name,Home.Address,School.Address,School,Commute.Time,Mode,Stutus,Commute.Rank
2,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,53.76666667,driving,OK,25
2,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,61.78333333,driving,OK,26
3,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,3.4,driving,OK,1
3,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,9.766666667,driving,OK,2
3,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,9.766666667,driving,OK,2
3,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,11.1,driving,OK,4
3,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,13.31666667,driving,OK,5
3,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,14.38333333,driving,OK,6
3,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,15.91666667,driving,OK,7
3,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,16.15,driving,OK,8
3,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,16.4,driving,OK,9
3,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,17.5,driving,OK,10
3,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,18.91666667,driving,OK,11
3,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,21.2,driving,OK,12
3,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,21.33333333,driving,OK,13
3,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,28.58333333,driving,OK,14
3,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,30.58333333,driving,OK,15
3,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,31.73333333,driving,OK,16
3,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,33.16666667,driving,OK,17
