"","sch_id","School","size","span","% Hispanic","Address","HSGrad_tgt","SomeCol_tgt","TutExp","SpanishNeed","OtherLang_tgt","Math_tgt","Male_tgt"
"1",1,"107th Street Elementary School",11,"Elementary",0.880733944954128,"147 E. 107th Street Los Angeles, CA 90003",0.468992248062016,0.63953488372093,0.63953488372093,2.44461224978395,0.468992248062016,3.32558139534884,2.51550387596899
"2",2,"109th Street ES",6,"Elementary",0.822916666666666,"10915 S. Mc Kinley Ave., Los Angeles, CA 90059",0.255813953488372,0.348837209302326,0.348837209302326,1.83657103079438,0.255813953488372,1.81395348837209,1.37209302325581
"3",3,"122nd Street Elementary School",9,"Elementary",0.80952380952381,"405 E 122nd St, Los Angeles, Ca 90061",0.383720930232558,0.523255813953488,0.523255813953488,1.65461789725629,0.383720930232558,2.72093023255814,2.05813953488372
"4",4,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163
"5",5,"Belmont High School",4,"High",0.833876221498371,"1575 W 2nd. ST, Los Angeles, CA 90026",0,0.232558139534884,0.232558139534884,1.97127815907914,0.170542635658915,2.41860465116279,0.914728682170543
"6",6,"Carver MS",8,"Middle",0.899305555555556,"4410 McKinley Ave Los Angeles, CA 90011",0.341085271317829,0.465116279069767,0.465116279069767,2.59888302327502,0.341085271317829,3.62790697674419,1.82945736434109
"7",8,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969
"8",9,"Compton Avenue ES",7,"Elementary",0.72093023255814,"1515 E. 104th St., Los Angeles, CA 90002",0.298449612403101,0.406976744186047,0.406976744186047,1,0.298449612403101,2.11627906976744,1.60077519379845
"9",10,"Gompers MS",7,"Middle",0.85,"234 E 112TH ST LOS ANGELES, CA 90061",0.298449612403101,0.406976744186047,0.406976744186047,2.15063677717841,0.298449612403101,3.17441860465116,1.60077519379845
"10",11,"Hollenbeck MS",7,"Middle",0.984871406959153,"2510 E. Sixth St., Los Angeles, CA 90023",0.298449612403101,0.406976744186047,0.406976744186047,3.16225692745419,0.298449612403101,3.17441860465116,1.60077519379845
"11",12,"Jefferson HS",6,"High",0.87468671679198,"1319 E 41st St., Los Angeles, Ca 90011",0,0.348837209302326,0.348837209302326,2.39093721180301,0.255813953488372,3.62790697674419,1.37209302325581
"12",13,"John Liechty Middle School",7,"Middle",0.954379562043796,"650 S. Union Ave., Los Angeles, CA 90017",0.298449612403101,0.406976744186047,0.406976744186047,2.98370150912644,0.298449612403101,3.17441860465116,1.60077519379845
"13",14,"Jordan HS",7,"High",0.831632653061224,"2265 E. 103rd St, Los Angeles, CA 90002",0,0.406976744186047,0.406976744186047,1.94462262547021,0.298449612403101,4.23255813953488,1.60077519379845
"14",15,"Alain LeRoy Locke College Preparatory Academy",12,"High",0.85,"325 E 111th St, Los Angeles, CA 90061",0,0.697674418604651,0.697674418604651,2.15063677717841,0.511627906976744,7.25581395348837,2.74418604651163
"15",16,"Manual Arts High School",10,"High",0.838046272493573,"4131 S Vermont Ave, Los Angeles, Ca 90037",0,0.581395348837209,0.581395348837209,2.01965606257457,0.426356589147287,6.04651162790698,2.28682170542636
"16",17,"Markham MS",7,"Middle",0.722986247544204,"1650 E. 104th St., Los Angeles, CA 90002",0.298449612403101,0.406976744186047,0.406976744186047,1,0.298449612403101,3.17441860465116,1.60077519379845
"17",18,"Mendez High School",9,"High",0.978313253012048,"1200 Plaza del Sol, Los Angeles, CA 90033",0,0.523255813953488,0.523255813953488,3.12552301508839,0.383720930232558,5.44186046511628,2.05813953488372
"18",19,"Nava College Prep",6,"High",0.95360824742268,"1319 E 41st St., Los Angeles, Ca 90011",0,0.348837209302326,0.348837209302326,2.97891195184719,0.255813953488372,3.62790697674419,1.37209302325581
"19",20,"Normandie Avenue ES",12,"Elementary",0.817518248175182,"4505 S. Raymond Ave., Los Angeles, CA 90037",0.511627906976744,0.697674418604651,0.697674418604651,1.76573425690758,0.511627906976744,3.62790697674419,2.74418604651163
"20",21,"NOW Academy",10,"Elementary",0.85,"3201 W. 8th St., Los Angeles, CA 90010",0.426356589147287,0.581395348837209,0.581395348837209,2.15063677717841,0.426356589147287,3.02325581395349,2.28682170542636
"21",22,"Obama Global Prep",8,"High",0.85,"1700 W 46TH ST Los Angeles, CA 90062",0,0.465116279069767,0.465116279069767,2.15063677717841,0.341085271317829,4.83720930232558,1.82945736434109
"22",23,"Roosevelt HS",9,"High",0.98158379373849,"456 S Mathews St, Los Angeles, CA 90033",0,0.523255813953488,0.523255813953488,3.14394910086172,0.383720930232558,5.44186046511628,2.05813953488372
"23",24,"Sal Castro MS",6,"Middle",0.85,"1575 W 2nd. ST, Los Angeles, CA 90026",0.255813953488372,0.348837209302326,0.348837209302326,2.15063677717841,0.255813953488372,2.72093023255814,1.37209302325581
"24",25,"Santee Education Complex",18,"High",0.911111111111111,"1921 S Maple Ave., Los Angeles, CA 90011",0,1.04651162790698,1.04651162790698,2.68964376323683,0.767441860465116,10.8837209302326,4.11627906976744
"25",26,"Stevenson MS",15,"Middle",0.992978936810431,"725 S. Indiana St., Los Angeles, CA 90023",0.63953488372093,0.872093023255814,0.872093023255814,3.20651764441234,0.63953488372093,6.80232558139535,3.43023255813953
